,cash,mv,nav
2019-03-18,1240185.7693203243,48053.82916375562,1288239.5984840798
2019-03-19,1240185.7693203243,48546.67187533652,1288732.4411956607
2019-03-20,1243922.8360442868,47271.711417343664,1291194.5474616305
2019-03-21,1243922.8360442868,48297.34520107684,1292220.1812453638
2019-03-22,1245168.2547240725,56437.65617407928,1301605.9108981518
2019-03-25,1245168.2547240725,57358.819445081215,1302527.0741691538
2019-03-26,1245084.5295594337,55506.20046940578,1300590.7300288395
2019-03-27,1244978.248494373,54937.06392193539,1299915.3124163083
2019-03-28,1244978.248494373,54589.26350631053,1299567.5120006835
2019-03-29,1244978.248494373,54025.79954704638,1299004.0480414194
2019-04-01,1246247.67636014,45818.84995687208,1292066.5263170123
2019-04-02,1246247.67636014,46817.93424168821,1293065.6106018282
2019-04-03,1246119.9050457536,45808.81521225959,1291928.720258013
2019-04-04,1247431.03222469,39091.59058690072,1286522.6228115908
2019-04-05,1247431.03222469,36653.92309255923,1284084.9553172493
2019-04-08,1247431.03222469,34388.58703622712,1281819.6192609172
2019-04-09,1247431.03222469,38486.45543948768,1285917.4876641778
2019-04-10,1247431.03222469,37615.269937239245,1285046.3021619294
2019-04-11,1246812.2077238918,38655.70474428721,1285467.9124681791
2019-04-12,1246812.2077238918,33891.21641973332,1280703.4241436252
2019-04-15,1246812.2077238918,36095.05004048514,1282907.257764377
2019-04-16,1246835.0178537183,30521.49622800465,1277356.5140817228
2019-04-17,1247417.240123945,28007.673498859545,1275424.9136228047
2019-04-18,1246406.3786259666,31458.621015345183,1277864.9996413118
2019-04-22,1246406.3786259666,32002.902899285917,1278409.2815252526
2019-04-23,1246406.3786259666,32408.32958632947,1278814.708212296
2019-04-24,1246406.3786259666,36316.776420019705,1282723.1550459864
2019-04-25,1246406.3786259666,40129.351076814964,1286535.7297027817
2019-04-26,1246406.3786259666,39038.42983110238,1285444.808457069
2019-04-29,1246406.3786259666,37136.54626296418,1283542.9248889307
2019-04-30,978973.5102485843,304569.4146403493,1283542.9248889335
2019-05-01,978973.5102485843,307106.07375214243,1286079.5840007267
2019-05-02,978973.5102485843,309152.5102073862,1288126.0204559704
2019-05-03,978973.5102485843,308432.05139404937,1287405.5616426338
2019-05-06,978973.5102485843,308441.5064899268,1287415.0167385112
2019-05-07,978973.5102485843,308506.7942633794,1287480.3045119639
2019-05-08,978973.5102485843,307813.9342612524,1286787.4445098368
2019-05-09,978973.5102485843,309041.36638142704,1288014.8766300115
2019-05-10,978973.5102485843,311728.88292067224,1290702.3931692566
2019-05-13,978637.4582085791,314548.7751866391,1293186.2333952182
2019-05-14,978637.4582085791,313617.723940972,1292255.182149551
2019-05-15,978637.4582085791,315105.7727575922,1293743.2309661712
2019-05-16,978637.4582085791,317460.3046126668,1296097.762821246
2019-05-17,978637.4582085791,320075.0932446173,1298712.5514531964
2019-05-20,978637.4582085791,320024.77848808555,1298662.2366966647
2019-05-21,978637.4582085791,319716.75536700286,1298354.213575582
2019-05-22,978637.4582085791,324889.5936973816,1303527.0519059608
2019-05-23,978637.4582085791,328671.7235048522,1307309.1817134314
2019-05-24,978637.4582085791,328605.48592571303,1307242.9441342922
2019-05-28,978637.4582085791,329530.7845646016,1308168.2427731808
2019-05-29,978637.4582085791,326836.5031101608,1305473.96131874
2019-05-30,978637.4582085791,331600.466889134,1310237.9250977132
2019-05-31,1081296.769092207,228941.15600550492,1310237.925097712
2019-06-03,1081296.769092207,225157.71050608027,1306454.4795982873
2019-06-04,1080910.5370178854,217375.2605717162,1298285.7975896015
2019-06-05,1080910.5370178854,225204.6184506838,1306115.1554685691
2019-06-06,1080910.5370178854,226877.91850176494,1307788.4555196504
2019-06-07,1080910.5370178854,225928.44063813068,1306838.9776560161
2019-06-10,1080910.5370178854,222987.16123221096,1303897.6982500963
2019-06-11,1080910.5370178854,220558.94251372476,1301469.4795316102
2019-06-12,1080910.5370178854,226669.04455502736,1307579.5815729126
2019-06-13,1080910.5370178854,221692.53859592578,1302603.0756138111
2019-06-14,1080910.5370178854,226923.19893377446,1307833.7359516597
2019-06-17,1080910.5370178854,226677.22665902195,1307587.7636769074
2019-06-18,1080910.5370178854,221508.0136671046,1302418.55068499
2019-06-19,1080910.5370178854,223187.83462567593,1304098.3716435614
2019-06-20,1080910.5370178854,219283.3415085614,1300193.8785264469
2019-06-21,1080910.5370178854,218290.13226373526,1299200.6692816205
2019-06-24,1080910.5370178854,220905.16552555945,1301815.702543445
2019-06-25,1080910.5370178854,221245.78744260725,1302156.3244604927
2019-06-26,1080910.5370178854,214228.44761830196,1295138.9846361873
2019-06-27,1080910.5370178854,213257.59614952665,1294168.1331674121
2019-06-28,1080910.5370178854,210226.84926777822,1291137.3862856636
