,cash,mv,nav
2014-06-04,48502.25838627503,1028548.6286405538,1077050.8870268287
2014-06-05,48502.25838627503,1036046.1009392842,1084548.3593255593
2014-06-06,48502.25838627503,1040997.3423974811,1089499.600783756
2014-06-09,48502.25838627503,1043939.3559543758,1092441.6143406508
2014-06-10,48502.25838627503,1043265.9053984523,1091768.1637847275
2014-06-11,48502.25838627503,1041066.652978616,1089568.911364891
2014-06-12,48502.25838627503,1037292.8438208883,1085795.1022071633
2014-06-13,48502.25838627503,1040417.5645587608,1088919.822945036
2014-06-16,48502.25838627503,1042477.3021815477,1090979.5605678228
2014-06-17,48502.25838627503,1046515.0015873939,1095017.259973669
2014-06-18,48502.25838627503,1053108.6667099309,1101610.925096206
2014-06-19,48547.208155474626,1054445.6450783897,1102992.8532338643
2014-06-20,48547.208155474626,1055551.449708276,1104098.6578637506
2014-06-23,48547.208155474626,1055103.4589252046,1103650.6670806792
2014-06-24,49103.62936381567,1046745.3978061767,1095849.0271699924
2014-06-25,49103.62936381567,1050775.26941084,1099878.8987746558
2014-06-26,49103.62936381567,1050721.4363276595,1099825.0656914753
2014-06-27,49103.62936381567,1053296.411327455,1102400.0406912707
2014-06-30,47460.57868497006,1054939.4620063005,1102400.0406912705
2014-07-01,48147.391643741335,1058228.7306483353,1106376.1222920767
2014-07-02,48908.279601592,1056442.2024449327,1105350.4820465248
2014-07-03,48908.279601592,1060000.5816203747,1108908.8612219668
2014-07-07,48908.279601592,1052166.343625081,1101074.623226673
2014-07-08,48908.279601592,1044909.5688405331,1093817.8484421251
2014-07-09,49143.87682596398,1048115.2899662328,1097259.166792197
2014-07-10,49143.87682596398,1043879.1904075674,1093023.0672335315
2014-07-11,49143.87682596398,1043942.7105590292,1093086.5873849932
2014-07-14,49143.87682596398,1046524.2219347205,1095668.0987606845
2014-07-15,49143.87682596398,1042416.3962488524,1091560.2730748164
2014-07-16,49143.87682596398,1045163.6411293974,1094307.5179553614
2014-07-17,49325.52179343058,1035529.5925043327,1084855.1142977632
2014-07-18,49325.52179343058,1044161.3642071444,1093486.886000575
2014-07-21,49325.52179343058,1043014.2120444636,1092339.7338378942
2014-07-22,49325.52179343058,1046481.2958435976,1095806.8176370282
2014-07-23,49700.742417742804,1046346.6308171523,1096047.373234895
2014-07-24,49700.742417742804,1047238.4604340445,1096939.2028517872
2014-07-25,49700.742417742804,1043176.562351407,1092877.3047691497
2014-07-28,49700.742417742804,1041683.2974052196,1091384.0398229624
2014-07-29,49700.742417742804,1038818.6819866118,1088519.4244043545
2014-07-30,49700.742417742804,1038386.3227933786,1088087.0652111215
2014-07-31,31143.54373817668,1056943.5214729435,1088087.06521112
2014-08-01,31143.54373817668,1054294.4724604513,1085438.0161986279
2014-08-04,31143.54373817668,1059390.7484083762,1090534.2921465528
2014-08-05,31143.54373817668,1052906.4630071162,1084050.0067452928
2014-08-06,31143.54373817668,1053564.3004112293,1084707.8441494058
2014-08-07,31143.54373817668,1049915.7366909701,1081059.2804291467
2014-08-08,31143.54373817668,1058298.4231235513,1089441.9668617279
2014-08-11,31143.54373817668,1062457.1291709936,1093600.6729091702
2014-08-12,31143.54373817668,1058495.1863710235,1089638.7301092
2014-08-13,31143.54373817668,1063059.5358182732,1094203.0795564498
2014-08-14,31143.54373817668,1066085.6365370818,1097229.1802752584
2014-08-15,31647.11419656734,1066401.8776776083,1098048.9918741756
2014-08-18,31647.11419656734,1073744.8229177594,1105391.9371143267
2014-08-19,31647.11419656734,1078266.9570061364,1109914.0712027038
2014-08-20,31647.11419656734,1080326.5009033727,1111973.61509994
2014-08-21,31647.11419656734,1081775.3397408244,1113422.4539373918
2014-08-22,31647.11419656734,1080374.5486667135,1112021.6628632809
2014-08-25,31647.11419656734,1083620.2785133813,1115267.3927099486
2014-08-26,31647.11419656734,1086200.9297597324,1117848.0439562998
2014-08-27,31647.11419656734,1087326.2232395147,1118973.337436082
2014-08-28,31647.11419656734,1086271.9856716255,1117919.0998681928
2014-08-29,31647.11419656734,1090649.8304390097,1122296.944635577
2014-09-02,31647.11419656734,1089287.4566390153,1120934.5708355827
2014-09-03,31647.11419656734,1089276.0889494116,1120923.203145979
2014-09-04,31647.11419656734,1085991.5721516514,1117638.6863482187
2014-09-05,31647.11419656734,1089747.0296409433,1121394.1438375106
2014-09-08,31647.11419656734,1086473.243352922,1118120.3575494892
2014-09-09,32663.048790533732,1078710.0874577246,1111373.1362482584
2014-09-10,32663.048790533732,1079400.3513539413,1112063.400144475
2014-09-11,32663.048790533732,1081166.3713827496,1113829.4201732834
2014-09-12,32663.048790533732,1073700.9460728872,1106363.994863421
2014-09-15,32663.048790533732,1069956.485631658,1102619.5344221918
2014-09-16,32663.048790533732,1075195.6441906702,1107858.692981204
2014-09-17,32663.048790533732,1074858.489738888,1107521.538529422
2014-09-18,32663.048790533732,1076442.5576054396,1109105.6063959734
2014-09-19,32663.048790533732,1072387.8622296075,1105050.9110201413
2014-09-22,32663.048790533732,1061339.1904625783,1094002.239253112
2014-09-23,32663.048790533732,1056183.8068230776,1088846.8556136114
2014-09-24,32663.048790533732,1060562.900366297,1093225.9491568308
2014-09-25,32698.481296793438,1048214.380224519,1080912.8615213123
2014-09-26,32698.481296793438,1053607.502110949,1086305.9834077423
2014-09-29,34272.549507642776,1049730.6686768364,1084003.2181844793
2014-09-30,25841.191743123847,1058162.0264413548,1084003.2181844786
2014-10-01,25841.191743123847,1047843.9874839863,1073685.1792271102
2014-10-02,25841.191743123847,1047999.8543897338,1073841.0461328577
2014-10-03,25841.191743123847,1049172.2918925574,1075013.4836356812
2014-10-06,25841.191743123847,1048721.576165017,1074562.7679081408
2014-10-07,25841.191743123847,1037225.8675732185,1063067.0593163425
2014-10-08,26208.58942813901,1046557.0807610105,1072765.6701891494
2014-10-09,26208.58942813901,1028739.289365396,1054947.878793535
2014-10-10,26208.58942813901,1018647.143152987,1044855.732581126
2014-10-13,26208.58942813901,1010897.4834917722,1037106.0729199112
2014-10-14,26208.58942813901,1014456.3921692835,1040664.9815974225
